,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Poverty Severity,Adult illiteracy rate,Children <5 years malnourished,Sanitation Coverage (%,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Acute Flacid Paralysis,Chicken pox,Diptheria,Hepatatis-B,Measles,Mumps,Neonatal Tetanus,Rubella,Tetanus,Tuberculosis,Whooping cough,Alcoholism,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,caste_diversity,Vacc_Access
Lamjung,7.15E-05,0.127507095,0.177434356,0.179485345,0.000256374,0.000101357,0.001639598,0.000172903,0.379349407,0.087035845,0.00561637,0.037102621,0,0.002772412,0.001454771,0.013,36.38,0.322,56.19,83,0,2.38E-05,5.96E-06,0.000769121,2.38E-05,0.000924137,0,2.38E-05,5.96E-05,0.001913858,0,4.17E-05,0,0.000119244,2.98E-05,0.000381579,0.002665093,0.000220601,0.001764804,0.001186473,1.19E-05,0.000125206,0.23285796,-0.221619885
Mahottari,2.07E-05,0.018343478,0.020727238,0.011004175,0.062736225,0.15453966,0.378216323,0.077182192,0.026728067,0.023369132,0.133606871,0.007023806,0.001416552,0.004665541,0.080420026,0.011,62.96,0.436,17.11,98,0,3.19E-05,8.76E-05,0.002957392,6.37E-06,0.000239013,0,3.19E-06,0.0001211,0.000578412,0,0,2.39E-05,0.000944899,1.75E-05,0.000159342,0.000368081,9.08E-05,0.000380828,1.12E-05,3.03E-05,7.01E-05,0.203362002,0.61382997
Makwanpur,0.00020453,0.140918528,0.114867163,0.040817928,0.001724232,0.000692071,0.011967361,0.00066591,0.074063504,0.541178233,0.004278474,0.061989122,0.00119626,0.002378251,0.003058431,0.027,38.21,0.251,48.05,97,5.71E-05,6.42E-05,1.66E-05,0.001940653,1.43E-05,0.000749149,0,1.66E-05,0.000168856,0.001831254,0,7.13E-06,2.38E-06,0.00062548,2.38E-06,0.000459003,0.000782445,0.000133182,0.000663532,0.001348469,7.85E-05,0.000411437,0.337102435,-0.137277551
Manang,0,0.034567146,0.039920465,0.051391863,0,0,0,0,0.573722851,0.268736617,0,0.019424901,0,0.009788926,0.002447232,0.038,29.18,0.547,45.59,127,0,0,0,0.002600184,0,0,0,0,0,0.000152952,0,0.000152952,0,0.000152952,0.000458856,0,0.000611808,0,0.000152952,0,0,0.000152952,0.407286072,-2.579840626
Morang,0.000272434,0.130721899,0.129211598,0.039133182,0.009381895,0.071743477,0.084206056,0.052200711,0.136201664,0.038266157,0.047391156,0.031745341,0.01396563,0.02745683,0.188101971,0.01,35.09,0.315,46.49,94,0.000210282,2.18E-05,7.98E-05,0.000993401,9.22E-05,0.000731326,0,0.000138807,9.94E-05,0.001248226,0,3.73E-05,2.07E-06,0.000879456,4.14E-06,0.0011695,0.001655324,0.001598351,0.002236448,0.001548629,0.001408786,0.000117054,0.109966201,0.397009021
Mugu,0,0.052219368,0.654795066,0.136182759,0,0,0.002532287,0.00032558,0.001483196,0.08825019,0,0.002622725,0,0.060557827,0.001031002,0.047,60.75,0.502,24.38,103,0,0,0,0.000922476,0,5.43E-05,0,0,0.000180878,0.00016279,0,0,0,0,0,1.81E-05,0,0,0.000108527,9.04E-05,0,1.81E-05,0.461501191,-0.068639561
Mustang,0,0.036723164,0.081400535,0.130240856,0,0,0,0,0.510110021,0.214391912,0,0.009812667,0,0.012488849,0.004831995,0.042,38.65,0.547,0,112,0,0,0,0.005203687,7.43E-05,0.00185846,0,7.43E-05,0,0.003270889,0,0,0,0,0,0.000371692,0.001040737,0.000148677,0.000594707,0.00044603,0.00044603,0,0.331389052,-0.839014754
Myagdi,0,0.080446318,0.194533663,0.245140398,0.000105596,0.000175993,0.002023917,0,0.449740851,0.002807085,0.001583935,0.013762638,0,0.002983078,0.006696527,0.027,34.84,0.475,0,83,1.76E-05,2.64E-05,4.40E-05,0.000369585,0,0.001654333,0,0.000149594,7.04E-05,0.003590254,0,6.16E-05,8.80E-06,0.000624775,3.52E-05,0.000272789,0.001531138,0.000114395,0.000668773,0.000175993,8.80E-05,0.000175993,0.306933283,0.163859294
Nawalparasi,0.000116549,0.174914686,0.081795409,0.067273445,0.003372141,0.062078482,0.102668498,0.039917142,0.207147386,0.03776643,0.037555089,0.019454304,0.000689968,0.013180877,0.152069594,0.013,36.25,0.389,47.57,89,6.22E-06,1.40E-05,0.00013675,7.61E-05,7.77E-06,0.000323228,0,1.40E-05,2.33E-05,0.001042722,3.11E-06,2.18E-05,3.11E-06,0.001754446,3.11E-06,8.24E-05,0.000419575,0.000111887,0.000212896,9.01E-05,1.55E-05,7.15E-05,0.127235245,0.162636841
Nuwakot,0,0.189439617,0.135347478,0.067217835,0.000115327,5.05E-05,0.002778669,0.000151367,0.076476461,0.446399804,0.001290225,0.074440212,6.49E-05,0.005643833,0.000583845,0.013,49.41,0.371,31.15,92,1.80E-05,0.000212635,5.77E-05,0.00107759,2.16E-05,0.000436082,1.08E-05,3.60E-05,0.000324358,0.00137672,3.60E-06,1.80E-05,2.16E-05,0.000227051,0.000518973,0.000504557,0.00035319,0.000133347,0.000472121,0.000129743,3.24E-05,5.05E-05,0.269428947,-0.574429352
Okhaldhunga,0,0.106038491,0.235816034,0.103321981,0,0.000236512,0.007683263,0.003378744,0.335448427,0.134724024,0.000175695,0.065439507,0.00013515,0.002817872,0.004784301,0.012,43.86,0.567,52.2,87,6.76E-06,0,8.11E-05,0.00018921,0.000155422,0.000952806,0,6.76E-06,0.00016218,0.004074765,1.35E-05,6.76E-05,6.76E-06,0.000979836,4.73E-05,0.000310844,0.00376392,6.76E-06,0.006007406,0.003074657,6.76E-06,0.002588118,0.212588717,-0.545251075
Palpa,0.000191439,0.174622865,0.095095337,0.120173826,8.42E-05,0.000229727,0.001520025,4.59E-05,0.532781989,0.030289456,0.004709396,0.034577686,4.21E-05,0.003587564,0.002048396,0.018,29.18,0.359,0,80,0.001160119,0.000612604,0.000134007,0.000685351,2.30E-05,0.001056742,0,0.000222069,0.000202925,0.001397504,0,4.21E-05,0.000149322,0.004747684,7.66E-06,0.001699977,0.018523624,0.001435791,0.008143809,0.004621334,0.001929704,0.001462593,0.339989388,-0.120189524
Panchthar,0,0.107362747,0.103729075,0.060807958,0.000161612,0.000265878,0.001970628,0.000166826,0.620753114,0.084080139,0.000286732,0.014300088,0.000344078,0.004097656,0.00167347,0.005,33.09,0.569,62.9,89,5.21E-06,0,1.04E-05,0.00055261,0,0.000589103,0,4.17E-05,5.21E-05,0.002564945,5.21E-06,0,0,0.000125119,5.73E-05,0.000224172,0.000140759,1.04E-05,0.000151186,6.78E-05,5.21E-06,3.13E-05,0.418616278,0.485154375
Parbat,0,0.357254929,0.212258681,0.234490757,0,0.000109148,0.000948223,0,0.155085613,0.008677263,0.004236305,0.023828365,0,0.001548537,0.00156218,0.008,32.43,0.262,75.35,80,0,3.41E-05,7.50E-05,0.000225118,6.82E-06,0.000880005,0,6.82E-06,0.0001569,0.001957842,0,8.19E-05,0,0.000497988,3.41E-05,0.000347909,0.002019237,6.82E-05,0.000341087,6.82E-05,7.50E-05,6.14E-05,0.252389075,-0.241278231
Parsa,0.000134772,0.026350336,0.038280115,0.005710321,0.026327042,0.120806899,0.380964266,0.076162571,0.015894725,0.025247206,0.145107376,0.016508684,0.011873208,0.012911448,0.09772103,0.025,51.31,0.372,25.49,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200490091,-2.106298191
Pyuthan,7.89E-05,0.098587474,0.294030741,0.215986708,0.000214816,0,0.00019728,0.000254272,0.347099105,0.017281742,0.002691778,0.016812654,7.89E-05,0.001012705,0.005672901,0.028,41.99,0.484,21.03,78,4.38E-05,0,1.75E-05,0.000938177,4.38E-06,0.000293728,0,4.38E-06,1.32E-05,0.001955266,0,0,0,0.001183681,0,0.000236736,0.001999106,2.19E-05,0.000179744,0.00026304,4.38E-06,0,0.263923552,1.188291954
Ramechhap,0,0.048458889,0.277029894,0.087008873,0.000281279,0.000207258,0.001993624,8.39E-05,0.149625455,0.286233136,0.000162846,0.144967085,5.92E-05,0.003158217,0.000730338,0.018,47.9,0.444,31.27,85,1.97E-05,2.47E-05,4.93E-06,0.000473733,0,0.000488537,7.40E-05,0,0.000340495,0.004362287,0,0,3.45E-05,0.000207258,0.000128303,0.000217127,0.00121394,8.39E-05,0.001115245,0.000148041,0.000217127,0.000296083,0.212011652,-0.658125753
Rasuwa,0,0.150692841,0.02630485,0.030669746,0.000692841,0,0.001639723,0,0.04743649,0.713441109,0,0.023371824,0,0.0047806,0.000969977,0.024,58.68,0.45,41.89,98,0,0,4.62E-05,0.002632794,0,0.001639723,0,0,2.31E-05,0.001385681,0,2.31E-05,0,6.93E-05,0,0.00039261,0.000438799,2.31E-05,4.62E-05,4.62E-05,0,0,0.536162552,0.213728323
Rautahat,0.000643637,0.026295939,0.019183891,0.005380634,0.02360635,0.124191449,0.415593209,0.086851739,0.013366399,0.029056882,0.197341865,0.003727855,0.002079444,0.004600115,0.048080592,0.029,66.11,0.397,17.58,105,7.43E-05,1.89E-05,0.000141251,0.0015989,5.82E-06,0.000141251,1.46E-06,2.48E-05,3.79E-05,0.000559178,0,1.89E-05,1.46E-05,0.00040919,7.28E-06,0.000119408,0.000132514,2.48E-05,0.000215517,0.000119408,1.16E-05,1.75E-05,0.23964848,1.093849598
Rolpa,0,0.01173688,0.37031527,0.16664588,6.68E-05,0.000111356,0.000293979,0,0.438705424,0.000935387,0.000962112,0.002476549,0,0.006213642,0.001536707,0.018,49.26,0.513,20.41,85,0,0.000146989,7.57E-05,0.00238301,4.45E-06,0.000574595,3.12E-05,2.67E-05,0.000160352,0.001888591,2.67E-05,1.34E-05,0.000293979,0.000534507,4.45E-05,0.000293979,0.000797306,4.45E-05,0.000209349,3.56E-05,2.23E-05,5.79E-05,0.35755346,0.509078325
Rukum,0,0.03313084,0.503560007,0.211922308,9.59E-05,0.000139044,0.000805497,0,0.24363394,0.000781523,0.000604122,0.002824033,0,0.001980179,0.000522614,0.019,49.19,0.513,20.32,91,0,5.27E-05,4.79E-05,0.002138402,0,0.000781523,0,2.40E-05,0,0.000896594,0,0.000239731,0,0.000613712,0,0.000278088,0.001073995,7.67E-05,0.000887005,0.000225347,0.000292472,0.000273293,0.358952717,0.528641775
Rupandehi,0.000653264,0.159338375,0.082774746,0.048173361,0.00881849,0.073141664,0.170424542,0.101337657,0.131747929,0.00860831,0.082331662,0.021356607,0.004435376,0.009753509,0.097104509,0.014,35.61,0.377,48.74,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113513106,0.993652016
Salyan,0,0.026076125,0.640519048,0.169800036,4.54E-05,0,0.000379469,0,0.152340334,0.001497253,0.00110541,0.005733283,0,0.001814852,0.000688819,0.021,44.5,0.541,16.37,92,0,1.65E-05,1.24E-05,0.002099454,4.12E-06,0.000676445,0,4.12E-06,0.0003011,0.000820808,0,4.12E-06,4.12E-06,0.000284602,0,0.000243355,0.001814852,0.000107241,0.000552705,0.000111366,1.24E-05,0.000210358,0.463024493,0.095096643
Sankhuwasabha,0,0.053413715,0.190768669,0.082410452,0.001442592,0.000163788,0.001329201,0.000258281,0.476912222,0.141040178,0.000258281,0.047479558,0.000522861,0.002941881,0.001058321,0.012,36.84,0.474,53.39,90,1.26E-05,1.26E-05,1.26E-05,0.000510262,0,0.00148039,6.30E-06,1.26E-05,0.000302377,0.004031699,0,6.93E-05,1.26E-05,0.000371672,1.89E-05,0.000371672,0.000352774,0.000157488,0.000491363,0.000125991,0.000119691,0.000113392,0.295643157,-0.357096494
Saptari,0.000259666,0.013048974,0.015606522,0.010217681,0.022752016,0.22983056,0.347784396,0.037410603,0.011639584,0.009776563,0.089389067,0.004195319,0.004519118,0.021957377,0.181612554,0.036,54.56,0.334,19.01,96,0,0,4.22E-05,0.00152358,3.13E-06,1.56E-06,3.13E-06,0,0,0.000705477,0,4.69E-06,4.69E-06,0.000156425,3.13E-05,5.01E-05,0.000201788,9.39E-06,0.000289386,9.39E-06,6.26E-06,1.56E-05,0.217936324,0.605322644
Sarlahi,3.38E-05,0.035774929,0.04252016,0.0140504,0.030556209,0.126584811,0.435826115,0.076148878,0.025349181,0.072073418,0.078929078,0.009551414,0.003955938,0.003614259,0.045031433,0.011,62,0.377,17.47,103,3.90E-06,7.67E-05,0.000102634,0.001032831,1.82E-05,0.000226054,0,0,0.000149403,0.000691152,0,0.000115625,1.43E-05,0.000797683,0.000144207,0.000491082,0.000300106,0.000544347,0.000522262,0.000202669,0.000111728,0.000198771,0.230200405,1.089271927
Sindhuli,0,0.0779123,0.147944576,0.112497974,0.002123623,0.00684691,0.008717318,0.000229581,0.176797483,0.400966265,0.000604338,0.062803857,0,0.001242437,0.001313337,0.036,48.92,0.363,21.01,92,5.06E-05,0.000121543,4.73E-05,0.00054019,8.10E-05,0.000151928,0,1.01E-05,0.001046618,0.001499028,0,2.70E-05,3.04E-05,0.000698871,5.74E-05,0.000165433,0.000226205,1.01E-05,4.39E-05,4.05E-05,2.36E-05,3.38E-06,0.236720407,-0.304411091
Sindhupalchok,0.000799172,0.103284248,0.220717309,0.07338133,0.00014941,6.25E-05,0.001761652,0.000145936,0.064378488,0.421656857,0.000132037,0.111109181,0,0.001587919,0.000833918,0.017,50.49,0.466,33.85,93,1.39E-05,0,0,0.001462832,0,0.001129264,0,5.91E-05,0.000653236,0.002533027,0,2.08E-05,3.47E-06,0.000138986,6.25E-05,0.000427383,0.000997227,0.000472554,0.00035789,7.30E-05,2.08E-05,3.13E-05,0.259059954,-0.563405287
Siraha,3.14E-05,0.009420581,0.013266324,0.009630834,0.011204592,0.210340672,0.464627319,0.054874413,0.015696784,0.033497665,0.074867258,0.005341049,0.004125035,0.012193094,0.080882999,0.027,60.04,0.397,18.47,95,4.08E-05,0,8.32E-05,0.000484837,4.71E-06,3.14E-06,0,1.57E-06,1.26E-05,0.00076099,0,1.57E-06,3.77E-05,0.000353036,0,0.000147491,0.00014906,5.33E-05,0.000262031,4.71E-05,2.67E-05,5.33E-05,0.277325848,1.086166759
Solukhumbu,0,0.046200631,0.158028446,0.077319003,0.000368321,0.000226659,0.006185898,0,0.54342406,0.138837996,0.000122774,0.024488601,0.000151106,0.002984342,0.001662165,0.019,42.49,0.476,39.64,94,0.000245547,0,0,0.000132218,0,0.001095518,0,3.78E-05,0,0.00316378,0,0,0,0.000254991,0,0.000349432,0.000358877,0.000103885,0.000793306,0.00348488,2.83E-05,0.000207771,0.348321265,-0.243358644
Sunsari,0.000141456,0.079912297,0.099948002,0.036060863,0.008461179,0.078015736,0.14639411,0.016701005,0.147538858,0.036211488,0.115487232,0.038036011,0.009921583,0.011438309,0.175731872,0.006,37.12,0.294,51.33,95,0,1.31E-06,4.19E-05,0.000272434,3.93E-06,0.000204326,0,0,1.57E-05,0.001231193,0,2.62E-06,0,0.000264576,1.31E-05,7.86E-06,2.10E-05,0,2.75E-05,1.57E-05,0,3.93E-06,0.114518179,0.44350298
Surkhet,3.99E-05,0.115278047,0.380622798,0.258041527,0.000242301,0.000139679,0.001718909,3.14E-05,0.203629377,0.007460006,0.005202335,0.005436084,0.000136829,0.002317533,0.01970331,0.026,33,0.579,36.53,93,5.70E-06,0,1.14E-05,0.004156167,0,0.000934995,0,2.57E-05,7.98E-05,0.001704656,5.70E-06,0,0,0.001080375,5.70E-06,7.70E-05,0.000305014,8.84E-05,0.000444693,0.000248002,5.70E-06,5.42E-05,0.266722008,0.636699162
Syangja,4.50E-05,0.308807254,0.145541384,0.158669609,0.000491098,8.30E-05,0.001407584,0,0.330014387,0.010600108,0.006868455,0.033322036,4.84E-05,0.002856669,0.001245037,0.007,29.63,0.391,68.4,77,1.38E-05,4.15E-05,3.11E-05,0.001307289,0,0.000940695,0,0.000114128,0.000349302,0.002770208,0,7.95E-05,1.38E-05,0.000857692,0,0.000338927,0.001891765,0.000518765,0.001030614,0.000307801,0.000107212,0.000131421,0.251911596,0.167653364
Tanahu,3.71E-05,0.118723862,0.1462968,0.161465937,0.000238178,0.000300042,0.003455124,0.00035572,0.42843842,0.046039445,0.012901809,0.076786024,0.000241271,0.003229319,0.001490931,0.011,31.68,0.473,56.63,80,1.24E-05,2.47E-05,1.55E-05,0.001082626,1.55E-05,0.000751652,0,3.09E-06,8.35E-05,0.001317711,0,4.95E-05,1.55E-05,0.000773304,7.11E-05,0.000300042,0.000460889,0.00017322,0.000637203,5.57E-05,4.02E-05,5.57E-05,0.253335941,-0.333007885
Taplejung,0,0.077796346,0.127693961,0.071166867,0,0.000156911,0.001357278,0.000125529,0.621327308,0.078769192,0,0.015918595,0,0.004244436,0.001443579,0.017,34.28,0.385,53.82,90,0.000305976,0,7.85E-06,0.001443579,6.28E-05,0.001710327,0,0.00043935,0.000251057,0.003632484,0,7.06E-05,0,0.000219675,1.57E-05,0.001074839,0.001545571,0.000564879,0.000258903,0.000125529,3.92E-05,2.35E-05,0.419950335,0.807748912
Terhathum,0,0.133219134,0.206572354,0.092944269,0.000354411,0,0.001073078,0.000226429,0.463018203,0.0698288,0.000305187,0.028923871,0,0.0025301,0.001004164,0.007,30.64,0.634,58.13,87,9.84E-06,1.97E-05,9.84E-06,0.001427489,0.000177205,0.003583488,9.84E-06,4.92E-05,0.00018705,0.00292389,0,0,0,0.000295342,7.88E-05,0.00020674,0.000521772,0.000108292,0.000502082,9.84E-05,9.84E-06,7.88E-05,0.289165451,-0.150070888
Udayapur,0,0.059902624,0.228153383,0.106584533,0.001209327,0.013315193,0.020473527,0.000784173,0.328370054,0.11873449,0.006824509,0.034443773,0.000462945,0.002012396,0.078729073,0.019,39.3,0.3,25.7,89,6.30E-06,6.93E-05,0.00013227,0.002462744,0,0.00093219,0,9.45E-06,6.61E-05,0.002667448,0,3.15E-06,6.30E-06,0.000686545,7.24E-05,0.000418855,0.000513334,0.000129121,0.000503886,8.50E-05,0,6.30E-06,0.19696134,0.619351746
Darchula,0.000750334,0.167084353,0.706424359,0.067792668,0,0,0.01287573,0,0.002281015,0.008996503,0.000232604,0.00038267,0,0.032767081,0.000412684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532874941,-4.235896871
Darchula,0.000750334,0.167084353,0.706424359,0.067792668,0,0,0.01287573,0,0.002281015,0.008996503,0.000232604,0.00038267,0,0.032767081,0.000412684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532874941,-4.235896871
Kavrepalanchok,3.93E-05,0.215339179,0.154012311,0.057781781,0.000282769,0.000212077,0.002526595,9.95E-05,0.054021998,0.376357881,0.000832598,0.132665859,0.000138766,0.004440523,0.001248897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23562186,-4.235896871
Kavrepalanchok,3.93E-05,0.215339179,0.154012311,0.057781781,0.000282769,0.000212077,0.002526595,9.95E-05,0.054021998,0.376357881,0.000832598,0.132665859,0.000138766,0.004440523,0.001248897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23562186,-4.235896871
