,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Total Pop Census,Poverty Gap,Poverty Incidence,Poverty Severity,Adult illiteracy rate,Deprivation in economic provisioning,HPI,People not expected to survive age 40,Children <5 years malnourished,Without safe water,BCG3,DPT-HepB 1 3,DPT-HepB 2 3,DPT-HepB 3 3,Japenese Encephalitis 3,Measles 12-23 3,Measles 9-11 months 3,Polio13,Polio23,Polio33,TT 1 3,TT 2+ 3,TT23,Sanitation Coverage (%,Water Coverage Supply (%),HDI ,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,Vacc_Access
Nawalparasi,0.000116549,0.174914686,0.081795409,0.067273445,0.003372141,0.062078482,0.102668498,0.039917142,0.207147386,0.03776643,0.037555089,0.019454304,0.000689968,0.013180877,0.152069594,643508,0.038,0.17,0.013,36.25,26.01,27.99,0.0809,0.389,0.1311,0.018981893,0.019179249,0.019173033,0.018638463,0.015337805,0.00016783,0.018834265,0.019185465,0.01904716,0.018640017,0.01069606,0.005698453,0.013300534,47.57,83.95,0.493,89,2.80E-05,4.66E-06,0.000153844,0.00013675,0.000402481,0.000265731,0.000295257,7.46E-05,1.09E-05,1.55E-05,-0.172643261
Nuwakot,0,0.189439617,0.135347478,0.067217835,0.000115327,5.05E-05,0.002778669,0.000151367,0.076476461,0.446399804,0.001290225,0.074440212,6.49E-05,0.005643833,0.000583845,277471,0.042,0.203,0.013,49.41,24.71,35.66,0.0677,0.371,0.1232,0.020679639,0.020607559,0.019785851,0.019872347,0,0.00033517,0.020023714,0.021613069,0.02081659,0.020939125,0.009622627,0.00844773,0.00915411,31.15,77.92,0.466,92,2.52E-05,2.16E-05,1.44E-05,0.002176804,0.000288318,6.49E-05,0.000172991,2.16E-05,1.44E-05,1.44E-05,-0.176447402
Okhaldhunga,0,0.106038491,0.235816034,0.103321981,0,0.000236512,0.007683263,0.003378744,0.335448427,0.134724024,0.000175695,0.065439507,0.00013515,0.002817872,0.004784301,147984,0.041,0.205,0.012,43.86,37,35.6,0.0717,0.567,0.1729,0.024502649,0.020691426,0.018502,0.018927722,0,0.000263542,0.022191588,0.023468753,0.021123905,0.02119148,0.00814953,0.006933182,0.016319332,52.2,82.4,0.468,87,6.76E-06,0,2.70E-05,0.000385177,0.00422343,0.000175695,0.01196751,0.003730133,0.000121635,0.001770462,-0.16853206
Palpa,0.000191439,0.174622865,0.095095337,0.120173826,8.42E-05,0.000229727,0.001520025,4.59E-05,0.532781989,0.030289456,0.004709396,0.034577686,4.21E-05,0.003587564,0.002048396,261180,0.052,0.216,0.018,29.18,28.42,25.23,0.0725,0.359,0.2093,0.026077801,0.022494065,0.021682365,0.021559844,0,0.000168466,0.023309595,0.022494065,0.021682365,0.022325599,0.001600429,0.017298415,0.002419787,0,0,0.5,80,0.000704495,0.000352247,9.19E-05,0.000436481,0.014346428,0.000168466,0.00497741,0.002251321,0.00015698,0.000417337,-0.167884877
Panchthar,0,0.107362747,0.103729075,0.060807958,0.000161612,0.000265878,0.001970628,0.000166826,0.620753114,0.084080139,0.000286732,0.014300088,0.000344078,0.004097656,0.00167347,191817,0.019,0.114,0.005,33.09,42.63,33.66,0.0916,0.569,0.2835,0.024398255,0.022724785,0.021431886,0.021108661,0,0.000323225,0.022662225,0.023751805,0.022698718,0.022234734,0.01400293,0.009853141,0.01174557,62.9,68.12,0.498,89,2.61E-05,0.000218959,0.000234599,0.001131287,0.000291945,4.69E-05,0.000427491,5.21E-06,3.65E-05,4.17E-05,-0.157331317
Parbat,0,0.357254929,0.212258681,0.234490757,0,0.000109148,0.000948223,0,0.155085613,0.008677263,0.004236305,0.023828365,0,0.001548537,0.00156218,146590,0.025,0.127,0.008,32.43,21.84,24.62,0.0611,0.262,0.1747,0.021140596,0.020226482,0.019353298,0.019769425,0,0.000341087,0.020785865,0.020547104,0.019619346,0.0202947,0.003056143,0.01194488,0.008445324,75.35,88.03,0.51,80,8.19E-05,0.009946108,0.00276963,0.007913227,0.001937376,8.87E-05,0.001002797,0.00011597,0.000184187,6.82E-05,-0.181313214
Parsa,0.000134772,0.026350336,0.038280115,0.005710321,0.026327042,0.120806899,0.380964266,0.076162571,0.015894725,0.025247206,0.145107376,0.016508684,0.011873208,0.012911448,0.09772103,601017,0.071,0.292,0.025,51.31,20.91,36.37,0.053,0.372,0.0462,0.022917821,0,0,0.019189141,0.009500563,0,0.020455328,0,0,0.020320557,0,0.010379074,0.024415283,25.49,80.17,0.464,108,0,0,0,0,0,0,0,0,0,0,-0.225859041
Pyuthan,7.89E-05,0.098587474,0.294030741,0.215986708,0.000214816,0,0.00019728,0.000254272,0.347099105,0.017281742,0.002691778,0.016812654,7.89E-05,0.001012705,0.005672901,228102,0.079,0.322,0.028,41.99,34.64,33.93,0.1161,0.484,0.2087,0.032130363,0.029758617,0.028333816,0.028167223,0,0.000170976,0.031056282,0.031420154,0.03073625,0.030319769,0.010635593,0.018991504,0.013485195,21.03,88.77,0.413,78,0,0,4.38E-06,0.001030241,0.001012705,5.26E-05,0.000135904,0.000464704,0,0,-0.105209324
Ramechhap,0,0.048458889,0.277029894,0.087008873,0.000281279,0.000207258,0.001993624,8.39E-05,0.149625455,0.286233136,0.000162846,0.144967085,5.92E-05,0.003158217,0.000730338,202646,0.056,0.256,0.018,47.9,32.4,36.35,0.0592,0.444,0.2039,0.019738855,0.019003583,0.018524915,0.018460764,0,0.000414516,0.01981781,0.019521728,0.019102277,0.01896904,0.0090552,0.00586244,0.010506006,31.27,79.05,0.468,85,1.48E-05,0,1.48E-05,0.00060697,0.000759946,5.43E-05,0.003089131,0.00016778,4.93E-05,9.87E-05,-0.186311747
Rasuwa,0,0.150692841,0.02630485,0.030669746,0.000692841,0,0.001639723,0,0.04743649,0.713441109,0,0.023371824,0,0.0047806,0.000969977,43300,0.072,0.316,0.024,58.68,28.57,42.24,0.087,0.45,0.1213,0.023741339,0.022378753,0.021709007,0.021224018,0,0.000300231,0.02334873,0.023140878,0.0226097,0.022424942,0.002494226,0.010046189,0.016836028,41.89,89.44,0.461,98,0,0,0,0.002170901,0.00034642,2.31E-05,0.000138568,4.62E-05,2.31E-05,4.62E-05,-0.162432745
Rautahat,0.000643637,0.026295939,0.019183891,0.005380634,0.02360635,0.124191449,0.415593209,0.086851739,0.013366399,0.029056882,0.197341865,0.003727855,0.002079444,0.004600115,0.048080592,686722,0.083,0.334,0.029,66.11,22.29,46.43,0.0727,0.397,0.0487,0.02497954,0.025666864,0.024287849,0.02374032,0.001153305,0.001297468,0.02068377,0.025837238,0.024513559,0.021950658,0.026673093,0.001533372,0.022521486,17.58,73.8,0.386,105,0.000149988,3.35E-05,0.000117952,0.001425613,5.82E-05,1.60E-05,0.000161637,4.95E-05,2.33E-05,2.77E-05,-0.13602851
Rolpa,0,0.01173688,0.37031527,0.16664588,6.68E-05,0.000111356,0.000293979,0,0.438705424,0.000935387,0.000962112,0.002476549,0,0.006213642,0.001536707,224506,0.056,0.26,0.018,49.26,37.16,38.57,0.108,0.513,0.2303,0.028689656,0.026832245,0.024083989,0.024382422,0,0.000699313,0.027348935,0.035121556,0.025803319,0.026097298,0.004276055,0.015496245,0.008930719,20.41,76.2,0.395,85,0,0,1.78E-05,0.001362993,0.000556778,2.67E-05,0.000267253,4.01E-05,3.12E-05,4.90E-05,-0.13379671
Rukum,0,0.03313084,0.503560007,0.211922308,9.59E-05,0.000139044,0.000805497,0,0.24363394,0.000781523,0.000604122,0.002824033,0,0.001980179,0.000522614,208567,0.058,0.263,0.019,49.19,38.85,39.02,0.0814,0.513,0.2641,0.029328705,0.024812171,0.021556622,0.021192231,0,0.002181553,0.024351887,0.026749198,0.023532007,0.023383373,0.017020909,0.006587811,0.014148931,20.32,79.05,0.431,91,0.001006871,4.79E-05,0.000139044,0.003509664,0.002435668,0.000254115,0.000680836,0.000604122,7.67E-05,0.000230142,-0.143657967
Rupandehi,0.000653264,0.159338375,0.082774746,0.048173361,0.00881849,0.073141664,0.170424542,0.101337657,0.131747929,0.00860831,0.082331662,0.021356607,0.004435376,0.009753509,0.097104509,880196,0.041,0.173,0.014,35.61,20.1,26.15,0.073,0.377,0.025,0.023669728,0.020543152,0.01962063,0.019921699,0.015618112,0,0.020948743,0.020543152,0.01962063,0.019921699,0.015052329,0.013467455,0.01475694,48.74,91.81,0.498,96,0,0,0,0,0,0,0,0,0,0,-0.15217916
Salyan,0,0.026076125,0.640519048,0.169800036,4.54E-05,0,0.000379469,0,0.152340334,0.001497253,0.00110541,0.005733283,0,0.001814852,0.000688819,242444,0.063,0.288,0.021,44.5,48.14,40.57,0.0823,0.541,0.4219,0.024933593,0.022731022,0.019295177,0.018977578,0,9.49E-05,0.024710861,0.025094455,0.023015624,0.022438171,0.008641171,0.011916154,0.011986273,16.37,57.34,0.441,92,8.25E-06,0,1.24E-05,0.003031628,0.001546749,4.54E-05,0.000284602,4.54E-05,1.65E-05,1.24E-05,-0.159698829
Sankhuwasabha,0,0.053413715,0.190768669,0.082410452,0.001442592,0.000163788,0.001329201,0.000258281,0.476912222,0.141040178,0.000258281,0.047479558,0.000522861,0.002941881,0.001058321,158742,0.041,0.21,0.012,36.84,39.91,33.64,0.0843,0.474,0.3241,0.02292399,0.021090827,0.020404178,0.019597838,0,0.000516561,0.020259289,0.022023157,0.021878268,0.021601089,0.001820564,0.018167845,0.002715097,53.39,80.27,0.488,90,1.26E-05,6.30E-06,1.26E-05,0.000648852,0.001127616,0.000220484,0.000774842,0.000346474,0.000144889,8.82E-05,-0.17560669
Saptari,0.000259666,0.013048974,0.015606522,0.010217681,0.022752016,0.22983056,0.347784396,0.037410603,0.011639584,0.009776563,0.089389067,0.004195319,0.004519118,0.021957377,0.181612554,639284,0.1,0.395,0.036,54.56,18.69,38.34,0.0539,0.334,0.0397,0.024195819,0.022706653,0.02154598,0.021416147,0.010810532,0.000611622,0.021400504,0.022520507,0.022257713,0.021696148,0.014736799,0.015066856,0.011824166,19.01,72.31,0.437,96,2.50E-05,0,5.94E-05,0.001349948,0.000137654,9.39E-06,0.00039732,1.25E-05,2.66E-05,6.26E-06,-0.146754567
Sarlahi,3.38E-05,0.035774929,0.04252016,0.0140504,0.030556209,0.126584811,0.435826115,0.076148878,0.025349181,0.072073418,0.078929078,0.009551414,0.003955938,0.003614259,0.045031433,769729,0.036,0.177,0.011,62,24.36,43.86,0.0704,0.377,0.1101,0.024012347,0.021729726,0.019856339,0.019276914,0,0.000523561,0.020091487,0.022193525,0.020298053,0.019532849,0.017925789,0.012147132,0.016587656,17.47,81.25,0.402,103,7.79E-06,6.24E-05,0.000193575,0.002528163,3.25E-05,6.50E-06,6.50E-05,6.89E-05,2.60E-05,5.20E-06,-0.15943892
Sindhuli,0,0.0779123,0.147944576,0.112497974,0.002123623,0.00684691,0.008717318,0.000229581,0.176797483,0.400966265,0.000604338,0.062803857,0,0.001242437,0.001313337,296192,0.099,0.383,0.036,48.92,35.91,37.95,0.0856,0.363,0.3552,0.022995219,0.020868221,0.019156493,0.019288164,1.01E-05,0.001131023,0.020672402,0.022394258,0.02063864,0.020942497,0.01310974,0.006495787,0.011090779,21.01,61.77,0.44,92,4.73E-05,2.70E-05,0.000243086,0.001131023,0.000276847,4.39E-05,0.000270095,5.74E-05,2.36E-05,4.05E-05,-0.171182647
Sindhupalchok,0.000799172,0.103284248,0.220717309,0.07338133,0.00014941,6.25E-05,0.001761652,0.000145936,0.064378488,0.421656857,0.000132037,0.111109181,0,0.001587919,0.000833918,287798,0.054,0.254,0.017,50.49,32.93,38.03,0.0841,0.466,0.1926,0.01927741,0.020358029,0.019736065,0.019972342,0,0.000479503,0.020444895,0.020430997,0.019864627,0.020066158,0.005073003,0.007689421,0.00703966,33.85,80.93,0.455,93,3.47E-06,3.47E-06,1.39E-05,0.00188674,0.000569844,7.64E-05,0.000211954,0.00014941,3.13E-05,5.56E-05,-0.185200915
Siraha,3.14E-05,0.009420581,0.013266324,0.009630834,0.011204592,0.210340672,0.464627319,0.054874413,0.015696784,0.033497665,0.074867258,0.005341049,0.004125035,0.012193094,0.080882999,637328,0.08,0.346,0.027,60.04,24.99,42.62,0.0637,0.397,0.1027,0.024641943,0.023460447,0.022542553,0.022164411,0.008811789,0.000241634,0.023167035,0.023460447,0.022542553,0.022172257,0.018467728,0.024354806,0.017636131,18.47,72.03,0.408,95,3.92E-05,0,0.000106695,0.000541323,0.0001977,8.94E-05,0.000359313,0.0001318,9.89E-05,0.0001318,-0.12929072
Solukhumbu,0,0.046200631,0.158028446,0.077319003,0.000368321,0.000226659,0.006185898,0,0.54342406,0.138837996,0.000122774,0.024488601,0.000151106,0.002984342,0.001662165,105886,0.057,0.257,0.019,42.49,29.39,32.48,0.0874,0.476,0.1118,0.020899836,0.017660503,0.016546097,0.015771679,0,0.000226659,0.019435997,0.017669947,0.016546097,0.015771679,0.014005629,0.006894207,0.012683452,39.64,77,0.502,94,1.89E-05,2.83E-05,0,0.004193189,0.000273879,8.50E-05,0.000651644,0.002124927,9.44E-06,0.000132218,-0.1900263
Sunsari,0.000141456,0.079912297,0.099948002,0.036060863,0.008461179,0.078015736,0.14639411,0.016701005,0.147538858,0.036211488,0.115487232,0.038036011,0.009921583,0.011438309,0.175731872,763487,0.022,0.12,0.006,37.12,16.49,26.52,0.071,0.294,0.0358,0.022490232,0.020526872,0.019860194,0.019537988,0.010750674,0.000349711,0.019953188,0.020526872,0.019860194,0.019537988,0.008288288,0.01524191,0.007886185,51.33,77.51,0.496,95,2.62E-06,0,6.68E-05,0.000373287,5.24E-05,3.93E-06,0.000280293,1.05E-05,3.93E-06,3.93E-06,-0.166588884
Surkhet,3.99E-05,0.115278047,0.380622798,0.258041527,0.000242301,0.000139679,0.001718909,3.14E-05,0.203629377,0.007460006,0.005202335,0.005436084,0.000136829,0.002317533,0.01970331,350804,0.075,0.305,0.026,33,47.58,36.36,0.0839,0.579,0.3726,0.025683858,0.023993455,0.022667929,0.022040798,0,0.000344922,0.023845224,0.02440109,0.023218093,0.022610917,0.008129896,0.013369289,0.013882396,36.53,77.48,0.476,93,2.28E-05,1.14E-05,2.57E-05,0.00690414,0.000564418,7.70E-05,0.000444693,0.000313565,2.57E-05,0.000111173,-0.15179468
Syangja,4.50E-05,0.308807254,0.145541384,0.158669609,0.000491098,8.30E-05,0.001407584,0,0.330014387,0.010600108,0.006868455,0.033322036,4.84E-05,0.002856669,0.001245037,289148,0.024,0.118,0.007,29.63,28.15,25.31,0.0685,0.391,0.172,0.021739732,0.021131047,0.019965554,0.020259521,0,0.000657103,0.021798525,0.021200216,0.020069307,0.020428984,0.004302295,0.014694897,0.013512111,68.4,78.51,0.527,77,6.92E-06,0.0002663,3.46E-05,0.003330474,0.001905599,0.000383886,0.001352249,0.000200589,4.50E-05,0.000152171,-0.170445178
Tanahu,3.71E-05,0.118723862,0.1462968,0.161465937,0.000238178,0.000300042,0.003455124,0.00035572,0.42843842,0.046039445,0.012901809,0.076786024,0.000241271,0.003229319,0.001490931,323288,0.033,0.148,0.011,31.68,36.03,29.75,0.0727,0.473,0.2476,0.020727648,0.020053327,0.018723244,0.018636634,0,0.000142288,0.019675955,0.020622479,0.019638836,0.019329514,0.011899607,0.0019611,0.011958378,56.63,82.44,0.506,80,3.09E-05,1.86E-05,3.09E-05,0.000612457,0.000411398,7.42E-05,0.000417584,0.000126822,6.19E-05,0.000136102,-0.182958679
Taplejung,0,0.077796346,0.127693961,0.071166867,0,0.000156911,0.001357278,0.000125529,0.621327308,0.078769192,0,0.015918595,0,0.004244436,0.001443579,127461,0.055,0.27,0.017,34.28,23.98,26.42,0.1078,0.385,0.0946,0.025592142,0.024580068,0.023795514,0.023144334,0,0.00080809,0.024768361,0.025019418,0.024211327,0.023505229,0.019370631,0.005899844,0.017479857,53.82,71.31,0.494,90,0,0,0,0.000604106,0.002165368,0.001145448,0.000360895,0.00058057,0.000196138,9.41E-05,-0.141116055
Terhathum,0,0.133219134,0.206572354,0.092944269,0.000354411,0,0.001073078,0.000226429,0.463018203,0.0698288,0.000305187,0.028923871,0,0.0025301,0.001004164,101577,0.025,0.146,0.007,30.64,42.85,33.01,0.0799,0.634,0.2229,0.022012857,0.021943944,0.02092009,0.020290026,0,0.000196895,0.022524784,0.023145003,0.022209752,0.021628912,0.007166977,0.017188931,0.008683068,58.13,90.79,0.527,87,9.84E-06,1.97E-05,3.94E-05,0.000531616,0.001506246,2.95E-05,0.000443014,0.000108292,9.84E-05,2.95E-05,-0.164221406
Udayapur,0,0.059902624,0.228153383,0.106584533,0.001209327,0.013315193,0.020473527,0.000784173,0.328370054,0.11873449,0.006824509,0.034443773,0.000462945,0.002012396,0.078729073,317532,0.058,0.259,0.019,39.3,26.03,29.74,0.0815,0.3,0.2207,0.023745638,0.021840318,0.020133404,0.019916103,0.01390411,0.001058161,0.021808826,0.023351977,0.021626167,0.021862363,0.011787788,0.011198871,0.012109016,25.7,64.18,0.475,89,1.89E-05,0,3.78E-05,0.001451822,0.0004409,0.000125972,0.000289735,0.000163763,2.52E-05,3.46E-05,-0.151676435
Achham,0,0.102036298,0.581749049,0.135157703,0.00010098,0,0.004920828,0,0.006921007,0.002637129,0.000998147,0.000493248,0.001743845,0.162239734,0.001002031,257477,0.127,0.472,0.047,54.92,51.76,46.68,0.095,0.592,0.4431,0.029812372,0.029668669,0.029579341,0.029443407,0,0.000477713,0.029443407,0.029668669,0.029579341,0.029443407,0.006621951,0.016987925,0.007410371,19.08,88.01,0.378,87,1.55E-05,0.003359523,5.44E-05,0.00274976,0.001207875,0.00015147,0.001479744,0.000419455,1.94E-05,0.000139818,-0.118241134
Arghakhanchi,0,0.327664548,0.193248057,0.209019794,0.001603991,6.58E-05,0.001057521,0,0.193349255,0.034726158,0.008971219,0.027971179,0,0.00113848,0.001184019,197632,0.069,0.288,0.024,34.43,27.24,27.37,0.0771,0.31,0.2348,0.023523518,0.024742957,0.023280643,0.023776514,0,9.11E-05,0.023356541,0.024874514,0.023376781,0.023796754,0.006097191,0.01116216,0.011480934,46.2,82.97,0.482,77,5.06E-06,0,2.02E-05,0.00333448,0.001932885,0.000161917,0.001350996,0.000101198,3.54E-05,0.000333954,-0.155328236
Baglung,4.47E-05,0.195385182,0.205600622,0.26323,0.001165245,0,0.000926984,0,0.308175703,0.009563945,0.002762338,0.010721745,0,0.001786957,0.000636604,268613,0.053,0.229,0.018,34.46,27.01,27.33,0.0852,0.429,0.1112,0.024615339,0.02460417,0.023718137,0.024362186,0,0,0.023610175,0.02460417,0.023718137,0.024362186,0.013748404,0.003845681,0.014727508,59.32,90.87,0.478,78,3.72E-06,2.61E-05,1.12E-05,0.001708778,0.00221136,0.000167527,0.001124294,0.000320163,0.000376006,0.000483968,-0.150475228
Baitadi,5.18E-05,0.185497692,0.603898796,0.083153313,0.001610216,0.000127542,0.052499422,0,0.003870099,0.000617781,8.37E-05,0.000482268,0.000135513,0.066975424,0.000996421,250898,0.123,0.457,0.046,45.15,45.38,39.58,0.0814,0.592,0.3157,0.025715629,0.02563193,0.025560188,0.025576131,0,0.001578331,0.024045628,0.024448182,0.025277204,0.025576131,0.007421343,0.0129455,0.006982917,25.59,89.66,0.416,88,2.39E-05,0,3.19E-05,0.002064584,0.00052611,5.98E-05,0.000514153,1.99E-05,0.00017537,0.000103628,-0.146777725
Bajhang,7.69E-05,0.101952767,0.726489683,0.11310265,0.000497031,0.000102481,0.000276697,0,0.002054735,0.001393735,0,0.000912077,0.000261325,0.052198464,0.000681496,195159,0.162,0.568,0.063,54.97,48.05,45.32,0.1281,0.632,0.3291,0.027270072,0.02691139,0.026716677,0.026552708,0,0.000440666,0.026035182,0.026619321,0.026224771,0.026260639,0.019286838,0.006266685,0.015018523,14.03,58.23,0.365,91,6.66E-05,1.54E-05,2.56E-05,0.000988937,0.001260511,0.000174217,0.000855713,0.000133225,3.59E-05,0.000230581,-0.129336728
Bajura,0,0.07001601,0.653892908,0.203199122,0.000103771,0.000111184,0.040522711,0.000689338,0.003142789,0.014520576,0.000741224,0.000452147,0.000318726,0.010436433,0.00185306,134912,0.199,0.641,0.082,55.48,41.17,43.28,0.1379,0.508,0.3153,0.027025024,0.025512927,0.025349858,0.025097842,0,0.001074775,0.023963769,0.025446217,0.025438805,0.024675344,0.008116402,0.00916894,0.008294296,10.57,86.82,0.364,95,0,2.22E-05,7.41E-06,0.002134725,0.000148245,0,0.000259428,7.41E-06,0,0,-0.147995398
Banke,0.000578043,0.066468829,0.194220385,0.067950573,0.01539141,0.043589321,0.125246024,0.022515179,0.06686776,0.006443957,0.18989524,0.012912339,0.005084335,0.024819209,0.158017394,491313,0.066,0.264,0.024,43.69,24.83,32.1,0.0784,0.448,0.0487,0.027666681,0.024033559,0.023164459,0.022545709,0.016799881,0.000614679,0.020713883,0.024033559,0.023164459,0.022545709,0.012193856,0.01168298,0.009808411,35.97,90.56,0.475,99,2.85E-05,1.83E-05,0.000107874,0.002564557,0.0001669,1.83E-05,0.000134334,2.04E-05,1.63E-05,2.04E-05,-0.140510613
Bara,7.27E-05,0.043175301,0.035685204,0.005963287,0.010929057,0.111857067,0.362694632,0.078235239,0.015726151,0.053627412,0.130628115,0.008416363,0.001423569,0.006693248,0.134872649,687708,0.072,0.299,0.025,56.75,21.78,40.09,0.0624,0.396,0.0396,0.02507605,0.024588924,0.02394621,0.023204616,0.013353051,0.000444956,0.022000617,0.024618006,0.023776079,0.023121732,0.011230057,0.012765592,0.010220908,19.06,88.58,0.457,104,2.91E-06,1.45E-06,6.25E-05,0.001529719,0.000238473,3.64E-05,0.000250106,0.000199212,4.94E-05,2.62E-05,-0.140984751
Bardiya,6.80E-05,0.087159146,0.145176944,0.08406005,0.003185833,0.013683376,0.032378755,0.020528581,0.038023705,0.005994243,0.025955516,0.005623851,0.000743127,0.005973144,0.531445745,426576,0.071,0.287,0.025,43.46,26.37,32.3,0.0884,0.506,0.0214,0.018144481,0.019262687,0.018953246,0.019063426,0.016998143,9.14E-05,0.018067121,0.019262687,0.018953246,0.019063426,0.010532707,0.008127508,0.00821659,39.16,82.18,0.466,93,1.41E-05,7.03E-06,0.000192228,0.004334515,0.00045244,0.000107835,0.000363358,0.000363358,6.33E-05,0.000103147,-0.174279785
Bhaktapur,0.000131298,0.142303816,0.214602939,0.017259093,0.001834886,0.00041687,0.007917256,0.000331527,0.047585598,0.093717073,0.004943361,0.455842915,0.000679466,0.00604298,0.006390919,304651,0.029,0.125,0.01,21.87,22.58,19.43,0.0331,0.269,0.1825,0.010720464,0.015824665,0.016477871,0.017229551,0.013888023,0.00032168,0.017968101,0.015873902,0.016477871,0.017268941,0.009817792,0.001667482,0.008691913,87.1,91.66,0.573,103,9.85E-06,3.28E-05,6.56E-06,0.000525191,0.000210076,0.000354504,0.000344657,4.60E-05,3.61E-05,4.60E-05,-0.199099023
Bhojpur,7.67E-05,0.061865953,0.208024817,0.098175481,0.000263073,0.000115094,0.001627763,0.000279515,0.435906149,0.109745203,0.000104133,0.08036326,0,0.002526595,0.000926235,182459,0.048,0.244,0.014,36.91,38.46,33.03,0.0965,0.455,0.3143,0.021078708,0.021297935,0.02149524,0.021226687,0,0.000295957,0.019927765,0.021297935,0.021440433,0.021281493,0.003151393,0.012819318,0.004510602,36.8,67,0.479,89,1.64E-05,0,1.10E-05,0.000728931,0.000345283,1.64E-05,0.000202785,0.000460377,0,3.84E-05,-0.178030889
Chitawan,0.000215523,0.285614776,0.126034511,0.084391983,0.001234517,0.002317305,0.016619424,0.001760393,0.146547146,0.158440578,0.011689978,0.052166956,0.001239689,0.002082816,0.109644404,579984,0.017,0.089,0.005,27.77,28.88,24.8,0.0645,0.42,0.1577,0.02320064,0.019603989,0.01905225,0.019233289,0.014726268,9.83E-05,0.018455682,0.019603989,0.019014318,0.019233289,0.011096858,0.005015656,0.009412329,83.08,85.05,0.551,93,3.10E-05,4.83E-05,8.62E-05,0.001798325,0.002989738,0.000832782,0.005105313,0.000427598,0.000956923,0.001210378,-0.171981631
Dadeldhura,0,0.158184019,0.578968852,0.188586429,0.00020409,0.000161865,0.01837516,0,0.039143102,0.002871339,0.000260391,0.008818106,0,0.003251369,0.001175278,142094,0.118,0.433,0.045,42.74,38.91,35.8,0.0889,0.486,0.2922,0.026588033,0.024033386,0.024026349,0.024448604,0,0.000647459,0.0222951,0.024033386,0.024026349,0.024448604,0.010401565,0.011583881,0.007586527,43.08,77.51,0.442,88,0.000365955,8.45E-05,0.000154827,0.008557715,0.005482286,0.000612271,0.002716512,0.001090827,0.000168902,0.000394105,-0.15184707
Dailekh,0,0.108824541,0.504759904,0.269117928,0,0,0.000546281,0,0.105623257,0.003006456,0.001753448,0.00311724,4.20E-05,0.002681744,0.00052718,261770,0.088,0.358,0.031,47.7,46.86,41.35,0.0863,0.456,0.4812,0.027027543,0.026867097,0.026485082,0.026538564,0,0.000148986,0.025736333,0.026867097,0.026485082,0.026538564,0.009985865,0.013786912,0.009237117,19.86,55.73,0.422,94,1.15E-05,4.58E-05,1.53E-05,0.002750506,0.000733468,0.000118425,0.00025213,0.000133705,3.82E-06,7.26E-05,-0.135367557
Dang,7.60E-05,0.102455197,0.284663118,0.114116793,0.000378224,0.001847686,0.020136342,0.000689489,0.141021349,0.018022632,0.008644855,0.008319112,0.000164681,0.004216561,0.295247954,552583,0.059,0.251,0.02,37.59,42.01,34.92,0.0798,0.393,0.4472,0.024001824,0.02385343,0.023757517,0.023679701,0.01877365,2.53E-05,0.023554832,0.02385343,0.023757517,0.023679701,0.004082645,0.011205556,0.013359079,44.11,69.25,0.485,90,0,0,2.35E-05,0.002533556,0.000899412,6.15E-05,0.000624341,0.000195446,2.53E-05,4.52E-05,-0.141566958
Darchula,0.000750334,0.167084353,0.706424359,0.067792668,0,0,0.01287573,0,0.002281015,0.008996503,0.000232604,0.00038267,0,0.032767081,0.000412684,133274,0.152,0.53,0.059,41.8,32.6,33.06,0.0904,0.478,0.1739,0,0,0,0,0,0,0,0,0,0,0,0,0,16.43,80.24,0.436,91,0,0,0,0,0,0,0,0,0,0,-4.235896871
Dhading,0,0.149809413,0.166701878,0.116179214,0.000238048,0.00022317,0.003174962,0.000160682,0.160569172,0.30354959,0.003076767,0.093990186,0,0.001362823,0.000964093,336067,0.038,0.188,0.012,46.74,20.85,33.38,0.0768,0.263,0.1539,0.023325706,0.023548876,0.023185853,0.023355462,0.002300137,5.65E-05,0.024123166,0.023548876,0.023185853,0.023355462,0.004868077,0.012045217,0.010852003,51.43,69.25,0.461,89,3.87E-05,8.93E-06,4.46E-05,0.003064865,0.000996825,0.000312438,0.000779606,0.000437413,9.82E-05,9.52E-05,-0.156708868
Dhankuta,7.34E-05,0.05414535,0.213754192,0.073293271,0.000501799,0.000483441,0.003127065,0.000336573,0.529000318,0.071126967,0.00098524,0.046710156,0.000556875,0.003273933,0.002631386,163412,0.029,0.159,0.008,31.41,31.59,27.57,0.0711,0.449,0.1827,0.02320515,0.023407094,0.023241867,0.023303062,0,0.000232541,0.022813502,0.023284704,0.023125597,0.023303062,0.007526987,0.01547622,0.008175654,48.64,76.42,0.517,88,6.12E-06,0,0,0.001009718,0.000348812,6.73E-05,0.000354931,4.90E-05,3.06E-05,6.12E-06,-0.157209539
